Source,Target
Michael_Slote,Philippa_Foot
Samuel_Beckett,Maurice_Blanchot
Samuel_Beckett,George_Berkeley
Samuel_Beckett,Arthur_Schopenhauer
Al-Sakhawi,Ibn_Hajar_al-Asqalani
Karl_Korsch,Karl_Marx
Karl_Korsch,Bertolt_Brecht
Michael_Dummett,Rudolf_Carnap
Michael_Dummett,Gottlob_Frege
Michael_Dummett,Gareth_Evans_(philosopher)
Nelson_Goodman,Clarence_Irving_Lewis
Nelson_Goodman,Rudolf_Carnap
Nelson_Goodman,Jerry_Fodor
Nelson_Goodman,Hilary_Putnam
Nelson_Goodman,Israel_Scheffler
Nelson_Goodman,Stanley_Cavell
Nelson_Goodman,Noam_Chomsky
Nelson_Goodman,Willard_Van_Orman_Quine
Will_Kymlicka,Gerald_Cohen
Will_Kymlicka,John_Stuart_Mill
Michael_Marrus,Hannah_Arendt
Timothy_Leary,Marshall_McLuhan
Timothy_Leary,Terence_McKenna
John_Searle,J._L._Austin
John_Searle,Gilbert_Ryle
John_Searle,David_Hume
John_Searle,Hubert_Dreyfus
John_Searle,Immanuel_Kant
John_Searle,Franz_Brentano
Rudolf_Hilferding,Karl_Kautsky
William_of_Ockham,Peter_Abelard
William_of_Ockham,John_Wycliffe
William_of_Ockham,Duns_Scotus
William_of_Ockham,Science
William_of_Ockham,Willard_Van_Orman_Quine
Brand_Blanshard,Josiah_Royce
Bruno_Filippi,Renzo_Novatore
John_P._Walters,Leo_Strauss
Friedrich_Carl_von_Savigny,August_von_Bethmann-Hollweg
Stephen_Yablo,Kendall_Walton
John_Dewey,Thorstein_Veblen
John_Dewey,Georg_Wilhelm_Friedrich_Hegel
John_Dewey,William_James
John_Dewey,Thomas_Hill_Green
Psychotherapy,Paul_Watzlawick
John_Austin_(legal_philosopher),H._L._A._Hart
John_Austin_(legal_philosopher),Joseph_Raz
Herbert_Feigl,Moritz_Schlick
Eric_Voegelin,Leo_Strauss
Eric_Voegelin,Olavo_de_Carvalho
Eric_Voegelin,"William_F._Buckley,_Jr."
Eric_Voegelin,Hans_Jonas
Eric_Voegelin,Othmar_Spann
Eric_Voegelin,Charles_R._Embry
Eric_Voegelin,David_Walsh
Eric_Voegelin,Russell_Kirk
Eric_Voegelin,Ellis_Sandoz
Ernest_Nagel,Mario_Bunge
Ernest_Nagel,Patrick_Suppes
Ted_Honderich,P._F._Strawson
Ted_Honderich,A._J._Ayer
Ted_Honderich,Arda_Denkel
Hillel_Steiner,Peter_Vallentyne
Maimonides,Leo_Strauss
Maimonides,Aristotle
Maimonides,Baruch_Spinoza
Maimonides,Isaac_Newton
Maimonides,James_Joyce
Maimonides,Averroes
Maimonides,Jean_Bodin
Maimonides,Gottfried_Wilhelm_Leibniz
Maimonides,Thomas_Aquinas
William_Leiss,Herbert_Marcuse
Emil_Fackenheim,Friedrich_Wilhelm_Joseph_Schelling
Arne_Næss,Baruch_Spinoza
José_Ortega_y_Gasset,Alain_de_Benoist
José_Ortega_y_Gasset,Martin_Heidegger
José_Ortega_y_Gasset,Edmund_Husserl
José_Ortega_y_Gasset,Wilhelm_Dilthey
Bashar_al-Assad,Zaki_al-Arsuzi
Maurice_Nicoll,George_Gurdjieff
Robert_L._Reymond,Gordon_Clark
Baptist_Union_in_the_Czech_Republic,Petr_Chelčický
Ata_ibn_Abi_Rabah,Ibn_Jurayj
Yan_Fu,Herbert_Spencer
Al-Kindi,Abu_Zayd_al-Balkhi
Al-Kindi,Abu_Ma'shar_al-Balkhi
Al-Kindi,Ebn_Meskavayh
Michel_Henry,Maine_de_Biran
Tokutomi_Sohō,Herbert_Spencer
Philostratus,Apollonius_of_Tyana
Abraham_Isaac_Kook,Baruch_Spinoza
Postliberal_theology,Alasdair_MacIntyre
Vilfredo_Pareto,Niccolò_Machiavelli
Pavel_Florensky,Vladimir_Solovyov_(philosopher)
Democritus,Aristotle
Democritus,Santayana
Democritus,Epicurus
Democritus,Pyrrho
Democritus,Leucippus
Giorgio_Agamben,Martin_Heidegger
Giorgio_Agamben,Michel_Foucault
Giorgio_Agamben,Giordano_Bruno
Giorgio_Agamben,Jacob_Taubes
Giorgio_Agamben,Hannah_Arendt
John_G._Bennett,George_Gurdjieff
Zaki_al-Arsuzi,Michel_Aflaq
Zaki_al-Arsuzi,Salah_al-Din_al-Bitar
Zaki_al-Arsuzi,Salah_Jadid
Zaki_al-Arsuzi,Hafez_al-Assad
Zaki_al-Arsuzi,Nureddin_al-Atassi
Zaki_al-Arsuzi,Amin_al-Hafiz
Cesare_Cremonini_(philosopher),Gabriel_Naudé
Cesare_Cremonini_(philosopher),Libertine
Peter_Winch,Simone_Weil
Friedrich_Ueberweg,Friedrich_Schleiermacher
Bas_van_Fraassen,Wilfrid_Sellars
Abdollah_Javadi-Amoli,Muhammad_Husayn_Tabatabaei
Lutz_Wingert,Jürgen_Habermas
Jacques_Lacan,Louis_Althusser
Jacques_Lacan,Ferdinand_de_Saussure
Jacques_Lacan,Georg_Wilhelm_Friedrich_Hegel
C._J._F._Williams,Arthur_Prior
Cleanthes,Chrysippus
Cleanthes,Sphaerus
Cleanthes,Zeno_of_Citium
R._U._Sirius,Terence_McKenna
Richard_J._F._Day,Antonio_Negri
James_B._Jordan,Rousas_John_Rushdoony
Bangladesh_Liberation_War,Motiur_Rahman_Mollik
Alberto_Toscano,Alain_Badiou
William_Ernest_Johnson,George_Boole
Leo_Strauss,Olavo_de_Carvalho
Leo_Strauss,Peter_Berkowitz
Leo_Strauss,Baruch_Spinoza
Leo_Strauss,Harry_V._Jaffa
Leo_Strauss,Allan_Bloom
Leo_Strauss,Clifford_Orwin
Leo_Strauss,Abram_Shulsky
Leo_Strauss,Steven_B._Smith_(professor)
Leo_Strauss,Thomas_Pangle
Leo_Strauss,Francis_Fukuyama
