Number of words,54041
Number of unique words,4531
Average word frequency,11.926948
Entropy,7.652777

Word,Frequency,Proportion,Entropy Term
pathetic,5,0.000093,0.000859
real,74,0.001369,0.009029
history,35,0.000648,0.004755
social,25,0.000463,0.003552
media,37,0.000685,0.004989
fandom,3,0.000056,0.000544
aw,5,0.000093,0.000859
monster,7,0.000130,0.001160
welcome,18,0.000333,0.002667
bless,8,0.000148,0.001305
duskenrose,3,0.000056,0.000544
bobby,3,0.000056,0.000544
brown,9,0.000167,0.001449
street,90,0.001665,0.010655
gang,5,0.000093,0.000859
case,21,0.000389,0.003052
work,307,0.005681,0.029374
repost,20,0.000370,0.002924
iconic,4,0.000074,0.000704
russian,6,0.000111,0.001011
tea,5,0.000093,0.000859
manhattan,71,0.001314,0.008717
opened,4,0.000074,0.000704
located,4,0.000074,0.000704
gross,7,0.000130,0.001160
want,258,0.004774,0.025516
drink,14,0.000259,0.002139
beer,12,0.000222,0.001868
car,24,0.000444,0.003428
free,31,0.000574,0.004281
country,46,0.000851,0.006017
ap,3,0.000056,0.000544
gonna,85,0.001573,0.010153
assault,6,0.000111,0.001011
daily,13,0.000241,0.002004
isnt,51,0.000944,0.006574
pretty,50,0.000925,0.006463
sure,64,0.001184,0.007980
joy,6,0.000111,0.001011
definitely,22,0.000407,0.003178
dnd,5,0.000093,0.000859
frank,7,0.000130,0.001160
guys,49,0.000907,0.006352
disgrace,4,0.000074,0.000704
rihanna,3,0.000056,0.000544
did,127,0.002350,0.014226
truly,26,0.000481,0.003675
lmao,56,0.001036,0.007121
understand,33,0.000611,0.004519
ask,31,0.000574,0.004281
money,67,0.001240,0.008298
buy,37,0.000685,0.004989
credit,13,0.000241,0.002004
knows,11,0.000204,0.001730
outside,24,0.000444,0.003428
ow,4,0.000074,0.000704
plant,4,0.000074,0.000704
chelsea,5,0.000093,0.000859
driver,9,0.000167,0.001449
comic,28,0.000518,0.003920
wow,58,0.001073,0.007338
beach,12,0.000222,0.001868
details,51,0.000944,0.006574
crack,6,0.000111,0.001011
panel,8,0.000148,0.001305
disney,4,0.000074,0.000704
raped,4,0.000074,0.000704
yr,8,0.000148,0.001305
bc,32,0.000592,0.004401
death,13,0.000241,0.002004
threats,3,0.000056,0.000544
usa,22,0.000407,0.003178
omg,42,0.000777,0.005565
graham,5,0.000093,0.000859
election,6,0.000111,0.001011
yesterday,28,0.000518,0.003920
tired,17,0.000315,0.002537
learn,26,0.000481,0.003675
treatment,5,0.000093,0.000859
neck,3,0.000056,0.000544
idk,19,0.000352,0.002796
central,40,0.000740,0.005336
garden,11,0.000204,0.001730
pet,4,0.000074,0.000704
woodbridgetownship,4,0.000074,0.000704
nj,61,0.001129,0.007661
mean,42,0.000777,0.005565
expected,5,0.000093,0.000859
number,9,0.000167,0.001449
numbers,6,0.000111,0.001011
breakfast,10,0.000185,0.001590
wife,15,0.000278,0.002273
hello,17,0.000315,0.002537
psa,3,0.000056,0.000544
shouldnt,13,0.000241,0.002004
taking,38,0.000703,0.005105
stores,3,0.000056,0.000544
restaurants,3,0.000056,0.000544
sorry,28,0.000518,0.003920
words,23,0.000426,0.003304
mouth,12,0.000222,0.001868
actus,9,0.000167,0.001449
consulting,12,0.000222,0.001868
group,35,0.000648,0.004755
latest,197,0.003645,0.020466
opening,158,0.002924,0.017060
summary,3,0.000056,0.000544
fucked,8,0.000148,0.001305
far,19,0.000352,0.002796
aint,48,0.000888,0.006241
movie,29,0.000537,0.004041
seen,28,0.000518,0.003920
films,5,0.000093,0.000859
camera,4,0.000074,0.000704
gets,28,0.000518,0.003920
used,26,0.000481,0.003675
constantly,6,0.000111,0.001011
clinton,9,0.000167,0.001449
plenty,8,0.000148,0.001305
dickfundy,6,0.000111,0.001011
thatkevinsmith,4,0.000074,0.000704
aliciamalone,4,0.000074,0.000704
moviemantz,4,0.000074,0.000704
strangerthings,3,0.000056,0.000544
option,5,0.000093,0.000859
gon,4,0.000074,0.000704
october,43,0.000796,0.005678
change,32,0.000592,0.004401
loved,19,0.000352,0.002796
sabmetrics,4,0.000074,0.000704
yds,4,0.000074,0.000704
td,6,0.000111,0.001011
clouds,5,0.000093,0.000859
fake,17,0.000315,0.002537
paying,9,0.000167,0.001449
pocket,5,0.000093,0.000859
dime,3,0.000056,0.000544
sparkle,3,0.000056,0.000544
hanging,3,0.000056,0.000544
alert,3,0.000056,0.000544
yea,11,0.000204,0.001730
daddy,6,0.000111,0.001011
play,57,0.001055,0.007230
gone,21,0.000389,0.003052
story,40,0.000740,0.005336
disrespected,5,0.000093,0.000859
parents,10,0.000185,0.001590
folks,15,0.000278,0.002273
housing,5,0.000093,0.000859
works,10,0.000185,0.001590
thrift,3,0.000056,0.000544
shop,12,0.000222,0.001868
havent,21,0.000389,0.003052
saving,5,0.000093,0.000859
hiding,3,0.000056,0.000544
bathroom,4,0.000074,0.000704
month,32,0.000592,0.004401
blue,13,0.000241,0.002004
trolls,3,0.000056,0.000544
thinking,31,0.000574,0.004281
lady,22,0.000407,0.003178
itunes,3,0.000056,0.000544
support,50,0.000925,0.006463
tutulsa,9,0.000167,0.001449
atatenea,4,0.000074,0.000704
purpuracocaes,6,0.000111,0.001011
mainzina,9,0.000167,0.001449
latofaob,6,0.000111,0.001011
izabellecova,9,0.000167,0.001449
reality,10,0.000185,0.001590
yrs,8,0.000148,0.001305
hurricane,5,0.000093,0.000859
disasters,3,0.000056,0.000544
young,17,0.000315,0.002537
winner,6,0.000111,0.001011
rainyday,6,0.000111,0.001011
workout,5,0.000093,0.000859
west,30,0.000555,0.004161
champion,4,0.000074,0.000704
training,13,0.000241,0.002004
velvet,5,0.000093,0.000859
style,10,0.000185,0.001590
streetstyle,5,0.000093,0.000859
soho,17,0.000315,0.002537
cafe,4,0.000074,0.000704
coffee,26,0.000481,0.003675
goals,16,0.000296,0.002406
united,13,0.000241,0.002004
nations,3,0.000056,0.000544
peace,19,0.000352,0.002796
effect,7,0.000130,0.001160
better,75,0.001388,0.009132
focus,10,0.000185,0.001590
season,35,0.000648,0.004755
proper,3,0.000056,0.000544
natural,13,0.000241,0.002004
aqui,3,0.000056,0.000544
casa,4,0.000074,0.000704
assist,3,0.000056,0.000544
pf,3,0.000056,0.000544
drive,20,0.000370,0.002924
mind,25,0.000463,0.003552
taxes,3,0.000056,0.000544
food,35,0.000648,0.004755
cheap,11,0.000204,0.001730
date,17,0.000315,0.002537
theatre,10,0.000185,0.001590
katie,4,0.000074,0.000704
upcoming,11,0.000204,0.001730
win,26,0.000481,0.003675
share,23,0.000426,0.003304
village,6,0.000111,0.001011
organic,4,0.000074,0.000704
vanilla,3,0.000056,0.000544
event,24,0.000444,0.003428
plus,11,0.000204,0.001730
plays,8,0.000148,0.001305
spotify,5,0.000093,0.000859
soundcloud,8,0.000148,0.001305
crazy,35,0.000648,0.004755
discovering,3,0.000056,0.000544
everyday,24,0.000444,0.003428
boring,7,0.000130,0.001160
washingtonpost,5,0.000093,0.000859
pruitt,8,0.000148,0.001305
knowledge,7,0.000130,0.001160
means,22,0.000407,0.003178
tl,7,0.000130,0.001160
talking,47,0.000870,0.006129
poor,10,0.000185,0.001590
jesus,9,0.000167,0.001449
happyleiferiksonday,3,0.000056,0.000544
books,22,0.000407,0.003178
ideas,22,0.000407,0.003178
enormous,6,0.000111,0.001011
direct,5,0.000093,0.000859
tv,14,0.000259,0.002139
dad,22,0.000407,0.003178
leaving,12,0.000222,0.001868
finally,34,0.000629,0.004638
dropping,9,0.000167,0.001449
staff,7,0.000130,0.001160
registration,4,0.000074,0.000704
data,6,0.000111,0.001011
especially,16,0.000296,0.002406
voters,11,0.000204,0.001730
