Number of pairs,13911.000000
Number of unique pairs,2640
Average pair frequency,5.269318
Pair entropy,7.535640

Pair,Frequency,Proportion,Entropy Term,Mutual Information
night trailer,3.000000,0.000216,0.001821,3.231212
night watching,3.000000,0.000216,0.001821,3.873715
night yankees,3.000000,0.000216,0.001821,2.800104
night nyc,5.000000,0.000359,0.002851,3.673045
night best,3.000000,0.000216,0.001821,3.464143
night football,7.000000,0.000503,0.003822,5.504544
night come,3.000000,0.000216,0.001821,3.447883
night lights,4.000000,0.000288,0.002345,5.990897
night win,3.000000,0.000216,0.001821,3.950676
damn good,4.000000,0.000288,0.002345,4.071013
hours sleep,4.000000,0.000288,0.002345,6.337819
bout like,3.000000,0.000216,0.001821,3.949866
world series,4.000000,0.000288,0.002345,5.521999
world lets,3.000000,0.000216,0.001821,4.617155
world cup,5.000000,0.000359,0.002851,7.060819
grand central,5.000000,0.000359,0.002851,8.726346
grand ballroom,3.000000,0.000216,0.001821,8.397842
central park,6.000000,0.000431,0.003342,8.338123
just home,3.000000,0.000216,0.001821,2.472682
just does,3.000000,0.000216,0.001821,2.538065
just feel,5.000000,0.000359,0.002851,2.737835
just like,27.000000,0.001941,0.012120,2.768366
just run,3.000000,0.000216,0.001821,3.035467
just right,4.000000,0.000288,0.002345,2.036062
just trying,5.000000,0.000359,0.002851,3.258611
just love,8.000000,0.000575,0.004291,1.982317
just make,4.000000,0.000288,0.002345,2.132600
just night,4.000000,0.000288,0.002345,2.132600
just short,3.000000,0.000216,0.001821,3.897691
just know,8.000000,0.000575,0.004291,2.243229
just lost,8.000000,0.000575,0.004291,3.891133
just got,12.000000,0.000863,0.006086,2.867132
just need,6.000000,0.000431,0.003342,2.517997
just better,4.000000,0.000288,0.002345,2.411313
just didnt,6.000000,0.000431,0.003342,2.950310
just lol,4.000000,0.000288,0.002345,2.060908
just work,5.000000,0.000359,0.002851,2.708565
just say,14.000000,0.001006,0.006946,3.728615
just look,7.000000,0.000503,0.003822,3.156828
just gonna,7.000000,0.000503,0.003822,2.944496
just waiting,3.000000,0.000216,0.001821,3.509925
